カード名称,セゾンゴールド・アメリカン・エキスプレス・カード
お支払日,2025/10/06
今回ご請求額,0000220177

利用日,ご利用店名及び商品名,本人・家族区分,支払区分名称,締前入金区分,利用金額,備考
2025/07/31,ドコモご利用料金,,1回,,7850,
2025/08/01,モバイル保険,,1回,,700,
2025/08/01,Voicy,,1回,,980,
2025/08/02,Voicy,,1回,,990,
2025/08/03,ETC東日本  (狩場→横須賀),,1回,,750,
2025/08/03,ETC東日本  (横須賀→狩場),,1回,,750,
2025/08/08,東京ガス 1888-822-1050,1,1回,,4976,
2025/08/11,アマゾン JP マーケットプレイス,1,1回,,1994,
2025/08/13,OPENAI,,1回,,848,現地通貨額:5.50 USD
,(SAN FRANCISCO),,,,,円換算レート:8/13 154.1819
2025/08/14,DEEPL* SUB:2756208 CUS,,1回,,1200,
2025/08/16,ANTHROPIC,,1回,,2293,現地通貨額:15.00 USD
,(SAN FRANCISCO),,,,,円換算レート:8/17 152.8667
2025/08/20,WRAPTAS - PERAICHI INC,,1回,,1078,
2025/08/21,ETC東日本  (狩場→横須賀),,1回,,750,
2025/08/21,ZOOM.COM 888-799-9666,1,1回,,2484,
2025/08/22,Audible an Amazon Compan,,1回,,1500,
2025/08/24,ETC東日本  (横須賀→狩場),,1回,,750,
2025/08/24,NTT東日本ご利用料金,,1回,,7021,
2025/08/24,Netflix(同) -東京都 港区,,1回,,1190,
2025/08/24,イデミツ アポロステーション,,1回,,1125,
2025/08/25,Apple iTunes Store,,1回,,150,
2025/08/25,東急電鉄定期券,,1回,,21130,
2025/08/26,パルシステム神奈川〔増資等〕,,1回,,800,
2025/08/26,パルシステム神奈川〔共済掛金〕,,1回,,9360,
2025/08/26,パルシステム神奈川〔電力〕,,1回,,14158,
2025/08/26,パルシステム神奈川〔宅配利用代金〕,,1回,,81869,
2025/08/27,アマゾン JP マーケットプレイス,1,1回,,1000,
2025/08/27,三線組合の販売店,,1回,,32700,
2025/08/28,Apple iTunes Store,,1回,,150,
2025/08/28,イオンリテール,1,1回,,954,
2025/08/30,アマゾン シーオージェーピー,,1回,,5000,
2025/09/01,まぐまぐ!,,1回,,880,
2025/09/01,アフラック,,1回,,3120,
2025/09/02,Apple iTunes Store,,1回,,150,
2025/09/03,Apple iTunes Store,,1回,,1680,
2025/09/03,WEBLIO.CO.JP,1,1回,,330,
2025/09/08,ZOZOTOWN,1,1回,,4130,
2025/09/08,OPENAI *CHATGPT SUBSCR,,1回,,3387,現地通貨額:22.00 USD
,(SAN FRANCISCO),,,,,円換算レート:9/08 153.9546
